OP_CPL,USD,2013,2014,2013,Net Sales,Translation,Operating Income,Contribution Income,,Net Sales,,,,,,,,
INTERNATIONAL 1 BILLION $ CHALLENGE,,,,,,,,,,,,,,,,,,
$$ in millions,FULL YEAR OI REQUIREMENT,,,,FULL YEAR SALES INCENTIVE ($$ over OP),,,,,,,2nd HALF INCENTIVE (LG% over OP),,,,HIDE,,
,Prior Full,Prior YTD,YTD,,Full Year,YTD,YTD,% to,Meets OI,YTD Incremental,,  % Local Growth,,LCG % pts. ,,AY/BA,AZ/BB,
COUNTRY,Year OI,OI,OI,,OP,OP,Actuals,OP,Requirement, $$ over OP,,OP,Actual,over OP,,Lgl Enty Super Region Name,Lgl Enty SubTotal Company,
Colombia,$6.2,$6.2,$7.4,,$12.0,$12.0,$13.8,114.6%,YES,$1.8,,4.7%,31.8%,27.0%,,Colombia,Colombia,
Hong Kong,$2.3,$2.3,$2.5,,$6.0,$6.0,$7.7,127.8%,YES,$1.7,,2.4%,31.6%,29.2%,,USE AZ,Hong Kong,
Saudi Arabia,$4.1,$4.1,$4.3,,$12.8,$12.8,$14.4,112.0%,YES,$1.5,,22.3%,52.5%,30.2%,,USE AZ,Saudi Arabia,
Chile,$3.6,$3.6,$4.6,,$12.1,$12.1,$13.2,109.2%,YES,$1.1,,6.5%,37.4%,30.8%,,Chile,Chile,
Andean Region,$3.4,$3.4,$4.8,,$10.0,$10.0,$11.1,110.5%,YES,$1.1,,10.0%,38.0%,28.0%,,Andean Region,#N/A,
UK Ireland,$16.5,$16.5,$17.4,,$72.0,$72.0,$73.0,101.3%,YES,$0.9,,3.1%,2.6%,-0.5%,,UK Ireland,UK Ireland,
Malaysia,$1.1,$1.1,$1.5,,$3.4,$3.4,$4.0,117.2%,YES,$0.6,,1.6%,34.1%,32.5%,,USE AZ,Malaysia,
India,$3.3,$3.3,$3.7,,$18.7,$18.7,$19.3,102.9%,YES,$0.5,,16.5%,21.6%,5.1%,,USE AZ,India,
Korea,$4.6,$4.6,$5.3,,$16.6,$16.6,$17.0,102.3%,YES,$0.4,,15.2%,14.4%,-0.9%,,Korea,Korea,
Romania,$0.0,$0.0,$0.2,,$0.8,$0.8,$0.9,121.0%,YES,$0.2,,-5.5%,28.0%,33.5%,,Romania,Romania,
Turkey,$0.8,$0.8,$2.3,,$8.1,$8.1,$8.2,101.8%,YES,$0.1,,25.2%,40.3%,15.1%,,Turkey,Turkey,
Indonesia,$1.2,$1.2,$1.5,,$4.1,$4.1,$4.2,101.9%,YES,$0.1,,19.9%,35.2%,15.3%,,USE AZ,Indonesia,
Sri Lanka,$0.1,$0.1,$0.1,,$0.6,$0.6,$0.6,99.1%,YES,$0.0,,51.1%,52.7%,1.6%,,USE AZ,Sri Lanka,
Philippines,$0.5,$0.5,$0.6,,$1.8,$1.8,$1.8,99.6%,YES,$0.0,,6.2%,17.2%,11.0%,,USE AZ,Philippines,
Israel,$0.2,$0.2,$0.3,,$1.5,$1.5,$1.4,96.5%,YES,-$0.1,,9.1%,-3.9%,-12.9%,,Israel,Israel,
Vietnam,$0.5,$0.5,$0.5,,$1.7,$1.7,$1.6,94.0%,YES,-$0.1,,24.1%,27.4%,3.3%,,USE AZ,Vietnam,
Hungary,$0.2,$0.2,$0.2,,$0.8,$0.8,$0.7,86.9%,NO,-$0.1,,5.2%,-1.5%,-6.7%,,Hungary,Hungary,
Cesko,$0.8,$0.8,$1.1,,$3.0,$3.0,$2.9,96.3%,YES,-$0.1,,29.4%,33.4%,4.0%,,Cesko,Cesko,
Greece,$0.4,$0.4,$0.4,,$2.9,$2.9,$2.7,95.8%,NO,-$0.1,,7.1%,8.8%,1.7%,,Greece,Greece,
Ukraine,$0.1,$0.1,$0.2,,$1.0,$1.0,$0.6,63.4%,YES,-$0.4,,27.5%,15.4%,-12.1%,,Ukraine,Ukraine,
Singapore Core,$1.3,$1.3,$1.6,,$5.3,$5.3,$4.8,90.5%,YES,-$0.5,,15.9%,8.4%,-7.5%,,USE AZ,Singapore Core,
Gulf,$3.2,$3.2,$3.3,,$12.5,$12.5,$12.0,95.6%,YES,-$0.5,,7.7%,4.9%,-2.8%,,USE AZ,Gulf,
Taiwan,$4.3,$4.3,$4.3,,$12.1,$12.1,$11.5,95.0%,NO,-$0.6,,11.9%,9.2%,-2.7%,,USE AZ,Taiwan,
East Region,$1.0,$1.0,$0.8,,$5.9,$5.9,$5.3,89.1%,NO,-$0.6,,-0.1%,-4.5%,-4.4%,,East Region,#N/A,
South Africa,$2.4,$2.4,$2.0,,$7.8,$7.8,$7.086,91.4%,NO,-$0.7,,12.7%,8.0%,-4.7%,,USE AZ,South Africa,
Pakistan,$0.4,$0.4,$0.1,,$2.1,$2.1,$1.3,65.7%,NO,-$0.7,,45.7%,17.8%,-27.9%,,USE AZ,Pakistan,
Argentina Uruguay,$2.4,$2.4,$2.3,,$8.8,$8.8,$8.0,91.9%,NO,-$0.7,,14.2%,40.9%,26.7%,,Argentina Uruguay,#N/A,
Mexico,$8.2,$8.2,$11.0,,$25.3,$25.3,$24.5,97.1%,YES,-$0.7,,14.8%,10.5%,-4.3%,,Mexico,Mexico,
Poland,$0.7,$0.7,$0.8,,$8.5,$8.5,$7.7,90.4%,YES,-$0.8,,-1.6%,-5.8%,-4.2%,,Poland,#N/A,
